phase_harmonic_01	phase_harmonic_02	phase_harmonic_03	phase_harmonic_04	phase_harmonic_05	phase_harmonic_06	phase_harmonic_07	phase_harmonic_08	phase_harmonic_09	phase_harmonic_10	phase_harmonic_11	phase_harmonic_12	phase_harmonic_13	phase_harmonic_14	phase_harmonic_15	phase_harmonic_16	phase_svd_01	phase_svd_02	phase_svd_03	phase_svd_04	phase_svd_05
1.469929494	-1.469929494	1.469929494	-1.469929494	-1.469929494	1.469929494	-1.469929494	1.469929494	-1.469929494	1.469929494	-1.469929494	1.469929494	-1.469929494	1.469929494	-1.469929494	1.469929494	1.830622186	1.469929494	1.603716573	0.328993102	0.1618590323
0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	0.3760427005	-0.3760427005	0.3760427005	0.6523807441	0.3760427005	1.50273755	1.263220193	-1.087118129
-1.304454421	1.304454421	-1.304454421	1.304454421	1.304454421	-1.304454421	1.304454421	-1.304454421	1.304454421	-1.304454421	1.304454421	-1.304454421	1.304454421	-1.304454421	1.304454421	-1.304454421	-0.8173639238	-1.304454421	1.85294637	0.8322892269	-0.2612034067
0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	0.3915297234	-0.3915297234	0.3915297234	0.7298184816	0.3915297234	1.660632361	0.1968777573	0.5764916211
1.594430984	-1.594430984	1.594430984	-1.594430984	-1.594430984	1.594430984	-1.594430984	1.594430984	-1.594430984	1.594430984	-1.594430984	1.594430984	-1.594430984	1.594430984	-1.594430984	1.594430984	1.342096003	1.594430984	1.470717082	1.023336542	-0.3071623875
-1.01601931	1.01601931	-1.01601931	1.01601931	1.01601931	-1.01601931	1.01601931	-1.01601931	1.01601931	-1.01601931	1.01601931	-1.01601931	1.01601931	-1.01601931	1.01601931	-1.01601931	0.3615700833	-1.01601931	1.752760876	1.184934099	-1.053305495
-0.3152015857	0.3152015857	-0.3152015857	0.3152015857	0.3152015857	-0.3152015857	0.3152015857	-0.3152015857	0.3152015857	-0.3152015857	0.3152015857	-0.3152015857	0.3152015857	-0.3152015857	0.3152015857	-0.3152015857	0.2642506293	-0.3152015857	1.836629709	0.1034883309	0.4598919575
1.174083044	-1.174083044	1.174083044	-1.174083044	-1.174083044	1.174083044	-1.174083044	1.174083044	-1.174083044	1.174083044	-1.174083044	1.174083044	-1.174083044	1.174083044	-1.174083044	1.174083044	1.052652366	1.174083044	1.717422895	0.4189547106	0.3495974544
0.232913471	-0.232913471	0.232913471	-0.232913471	-0.232913471	0.232913471	-0.232913471	0.232913471	-0.232913471	0.232913471	-0.232913471	0.232913471	-0.232913471	0.232913471	-0.232913471	0.232913471	0.8604025283	0.232913471	1.692518479	1.191809261	-0.4297640268
-1.109827194	1.109827194	-1.109827194	1.109827194	1.109827194	-1.109827194	1.109827194	-1.109827194	1.109827194	-1.109827194	1.109827194	-1.109827194	1.109827194	-1.109827194	1.109827194	-1.109827194	-0.1747768566	-1.109827194	1.860811728	0.5802949716	0.3858535091
0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	0.2123651587	-0.2123651587	0.2123651587	1.016440727	0.2123651587	1.815082952	-0.1071259635	0.7690949422
1.635149941	-1.635149941	1.635149941	-1.635149941	-1.635149941	1.635149941	-1.635149941	1.635149941	-1.635149941	1.635149941	-1.635149941	1.635149941	-1.635149941	1.635149941	-1.635149941	1.635149941	1.768123883	1.635149941	1.434172844	1.04391485	-0.1967021526
